"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"Asociación de personas mayores Izarra ","Organizar el ocio y tiempo libre para las personas mayores. Elevar el nivel social, cultural y de convivencia de sus componentes, así como de las personas del entorno.","[""Personas Mayores"",""Salud comunitaria""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""43.23350718224933, -2.841970631383036"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,,,"horario de atención Martes  de 17:00 a 19:00 ","[""Galdakao""]","[""Asociación""]",,"Local",,"PAULA GARCIA CRESPO"
"ESNATU ","Programa de Atención Psicológica de víctimas de violencia machista contra las mujeres.

Programa de Atención Psicológica a víctimas de violencia sexual.

Programa de Atención Psicológica a personas autoras de actos de maltrato o de delitos contra la libertad sexual.

- Diagnóstico y valoración.
- Atención Psicológica Individualizada: tratamientos individuales de apoyo psicológico y de psicoterapia a las personas beneficiarias.
- Atención Psicológica Grupal como intervención complementaria a la atención psicológica individualizada.
- Seguimiento de los casos atendidos.
- Evaluación de los casos tratados.
- La asistencia psicológica prestada será urgente (en los casos de riesgo inminente), gratuita y especializada.","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFC574BBC87D5E970?setLang=es-ES"",""DisplayName"":""Diputación Foral de Bizkaia"",""Address"":{""Street"":""Avenida Lehendakari Aguirre 9"",""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48014"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2621,""Longitude"":-2.93211}}","946.620.505","esnatu@bizkaia.eus","https://www.bizkaia.eus/es/tema-detalle/-/edukia/dt/1807","
En Durango: lunes, miércoles, jueves y viernes de 8:00h a 15:00h.","[""Durango""]","[""Institución pública""]","[""Mujer"",""Familias""]","Provincial","Point (-2.93211 43.2621)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ESNATU ","Programa de Atención Psicológica de víctimas de violencia machista contra las mujeres.

Programa de Atención Psicológica a víctimas de violencia sexual.

Programa de Atención Psicológica a personas autoras de actos de maltrato o de delitos contra la libertad sexual.

- Diagnóstico y valoración.
- Atención Psicológica Individualizada: tratamientos individuales de apoyo psicológico y de psicoterapia a las personas beneficiarias.
- Atención Psicológica Grupal como intervención complementaria a la atención psicológica individualizada.
- Seguimiento de los casos atendidos.
- Evaluación de los casos tratados.
- La asistencia psicológica prestada será urgente (en los casos de riesgo inminente), gratuita y especializada.","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFC574BBC87D5E970?setLang=es-ES"",""DisplayName"":""Diputación Foral de Bizkaia"",""Address"":{""Street"":""Avenida Lehendakari Aguirre 9"",""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48014"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2621,""Longitude"":-2.93211}}","946.620.505","esnatu@bizkaia.eus","https://www.bizkaia.eus/es/tema-detalle/-/edukia/dt/1807","En Markina-Xemein: lunes, martes, miércoles y viernes de 08:00 a 15:00h.","[""Markina""]","[""Institución pública""]","[""Mujer"",""Familias""]","Provincial","Point (-2.93211 43.2621)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ESNATU ","Programa de Atención Psicológica de víctimas de violencia machista contra las mujeres.

Programa de Atención Psicológica a víctimas de violencia sexual.

Programa de Atención Psicológica a personas autoras de actos de maltrato o de delitos contra la libertad sexual.

- Diagnóstico y valoración.
- Atención Psicológica Individualizada: tratamientos individuales de apoyo psicológico y de psicoterapia a las personas beneficiarias.
- Atención Psicológica Grupal como intervención complementaria a la atención psicológica individualizada.
- Seguimiento de los casos atendidos.
- Evaluación de los casos tratados.
- La asistencia psicológica prestada será urgente (en los casos de riesgo inminente), gratuita y especializada.","[""Mujeres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNFC574BBC87D5E970?setLang=es-ES"",""DisplayName"":""Diputación Foral de Bizkaia"",""Address"":{""Street"":""Avenida Lehendakari Aguirre 9"",""City"":""Bilbao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48014"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2621,""Longitude"":-2.93211}}","946.620.505","esnatu@bizkaia.eus","https://www.bizkaia.eus/es/tema-detalle/-/edukia/dt/1807","En Gernika: lunes de 9:00 a 18:00h; martes y miércoles de 08:00 a 15:00h.","[""Gernika""]","[""Institución pública""]","[""Mujer"",""Familias""]","Provincial","Point (-2.93211 43.2621)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MANUELA ZUBIZARRETA","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x5162730255150133630?setLang=es-ES"",""DisplayName"":""Colegio Público Manuela Zubizarreta"",""Address"":{""Street"":""C/ Ribera, 25"",""City"":""Etxebarria"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48277"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2543,""Longitude"":-2.47596}}","946.168.159","014256aa@hezkuntza.net",,,"[""Markina""]","[""Educación""]",,,"Point (-2.47596 43.2543)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ETXEBARRIAKO HAURRESKOLA","Centro educativo","[""Infancia""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Grupo+Errekarte&locality=Erbera+o+San+Andres&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48277&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Grupo Errekarte"",""Address"":{""Street"":""Grupo Errekarte"",""City"":""Erbera o San Andres"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48277"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.167.630","etxebarria.etxebarria@haurreskolak.eus",,,"[""Markina""]","[""Educación""]",,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"LEA-ARTIBAI BATXILERGOA","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x16401761485023250862?setLang=es-ES"",""DisplayName"":""LEA ARTIBAI IKASTETXEA S "",""Address"":{""Street"":""Xemein Etorbidea, 19 Bajo"",""City"":""Bizkaia"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2685,""Longitude"":-2.49367}}","946.169.002","sgabiola@leartik.eus",,,"[""Markina""]","[""Educación""]",,,"Point (-2.49367 43.2685)","CESAR ENRIQUE PINARGOTE GAVILANES"
"BEKOBENTA","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Beko+Benta+Kalea%2c+3&locality=Markina-Xemein&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48270&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Beko Benta Kalea, 3"",""Address"":{""Street"":""Beko Benta Kalea, 3"",""City"":""Markina-Xemein"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.166.130","014352aa@hezkuntza.net","https://www.aldapeta.eus/",,"[""Markina""]","[""Educación""]",,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"BERA-KRUZ IKASTOLA","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x524414666?setLang=es-ES"",""DisplayName"":""BERA KRUZ IKASTOLA"",""Address"":{""Street"":""CALLE ABESUA, 5 - 7"",""City"":""Markina-Xemein"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2667,""Longitude"":-2.49673}}","946.166.030","idazkaritza@berakruz.eus",,,"[""Markina""]","[""Educación""]",,,"Point (-2.49673 43.2667)","CESAR ENRIQUE PINARGOTE GAVILANES"
"LEA-ARTIBAI","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x16401761485023250862?setLang=es-ES"",""DisplayName"":""LEA ARTIBAI IKASTETXEA S "",""Address"":{""Street"":""Xemein Etorbidea, 19 Bajo"",""City"":""Bizkaia"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2685,""Longitude"":-2.49367}}","946.169.002","sgabiola@leartik.eus","https://www.aldapeta.eus/",,"[""Markina""]","[""Educación""]",,,"Point (-2.49367 43.2685)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MARKINA","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Beko+Benta+Kalea%2c+3&locality=Markina-Xemein&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48270&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Beko Benta Kalea, 3"",""Address"":{""Street"":""Beko Benta Kalea, 3"",""City"":""Markina-Xemein"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.168.771","bekotxiki.markina@haurreskolak.eus",,,"[""Markina""]","[""Educación""]",,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"MARKINAKO HAURRESKOLA-BEKO-TXIKI","Centro educativo","[""Infancia""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Beko+Benta+Kalea%2c+3&locality=Markina-Xemein&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48270&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Beko Benta Kalea, 3"",""Address"":{""Street"":""Beko Benta Kalea, 3"",""City"":""Markina-Xemein"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","944.287.833","015091aa@hezkuntza.net","https://www.aldapeta.eus/",,"[""Markina""]","[""Educación""]",,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"PEÑASCAL MARKINA","Centro educativo","[""Infancia"",""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Camino+de+Meabe%2c+4b&locality=Markina-Xemein&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48270&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Camino de Meabe, 4b"",""Address"":{""Street"":""Camino de Meabe, 4b"",""City"":""Markina-Xemein"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48270"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.169.652","cpfpb-markina@grupopenascal.com",,,"[""Markina""]","[""Educación""]",,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"NTRA. SRA. DE LA ANTIGUA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x15063928735953467129?setLang=es-ES"",""DisplayName"":""Antiguako Ama Ondarroa"",""Address"":{""Street"":""Iturribarri Kalea, 13, 48700 Ondarroa, Bizkaia, Spain"",""City"":""Ondárroa"",""State"":""País Vasco"",""CountryOrRegion"":""ES"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3214,""Longitude"":-2.43227}}","946.830.206","info@arrantzaeskolaondarroa.org",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.43227 43.3214)","CESAR ENRIQUE PINARGOTE GAVILANES"
"UNANUE-TAR PEDRO MARI",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x11155216572909864494?setLang=es-ES"",""DisplayName"":""Escuela De Música Unanue'Tar Pedro Mari (ondarroa)"",""Address"":{""Street"":""Paseo M. Unanue Enparantza, 1"",""City"":""Ondarroa"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3207,""Longitude"":-2.42043}}","946.134.063","unanuemusikaeskola@gmail.com",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.42043 43.3207)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ONDARROAKO HAURRESKOLA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x2480069575134545468?setLang=es-ES"",""DisplayName"":""Ondarroa Haurreskola"",""Address"":{""Street"":""Calle Iñaki Deuna, 35"",""City"":""Ondarroa"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3197,""Longitude"":-2.42701}}","946.831.268","ondarroa.ondarroa@haurreskolak.eus",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.42701 43.3197)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ONDARROA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x13949250098754996638?setLang=es-ES"",""DisplayName"":""IES ONDARROA BHI"",""Address"":{""Street"":""Calle De Artibai 3"",""City"":""Ondarroa"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3195,""Longitude"":-2.42528}}","944.287.870","015623aa@hezkuntza.net",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.42528 43.3195)","CESAR ENRIQUE PINARGOTE GAVILANES"
"BERRIATUA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x5047466245586881644?setLang=es-ES"",""DisplayName"":""Partzuergoko Haur Eskola Berriatuko Haurreskola"",""Address"":{""Street"":""64,Calle De Erribera"",""City"":""Berriatua"",""State"":""País Vasco"",""CountryOrRegion"":""Spain"",""PostalCode"":""48710"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3096,""Longitude"":-2.46771}}","946.139.063","014096aa@hezkuntza.net",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.46771 43.3096)","CESAR ENRIQUE PINARGOTE GAVILANES"
"BERRIATUKO HAURRESKOLA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x5047466245586881644?setLang=es-ES"",""DisplayName"":""Partzuergoko Haur Eskola Berriatuko Haurreskola"",""Address"":{""Street"":""64,Calle De Erribera"",""City"":""Berriatua"",""State"":""País Vasco"",""CountryOrRegion"":""Spain"",""PostalCode"":""48710"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3096,""Longitude"":-2.46771}}","946.139.803","berriatua.berriatua@haurreskolak.eus",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.46771 43.3096)","CESAR ENRIQUE PINARGOTE GAVILANES"
"TARINE",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x5047466245586881644?setLang=es-ES"",""DisplayName"":""Partzuergoko Haur Eskola Berriatuko Haurreskola"",""Address"":{""Street"":""64,Calle De Erribera"",""City"":""Berriatua"",""State"":""País Vasco"",""CountryOrRegion"":""Spain"",""PostalCode"":""48710"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3096,""Longitude"":-2.46771}}","946.139.889","tarine.musika@gmail.com","https://www.aldapeta.eus/",,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.46771 43.3096)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ZALDUPE",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521558199?setLang=es-ES"",""DisplayName"":""Zaldupe Hlhi"",""Address"":{""Street"":""Zaldubide15"",""City"":""Ondárroa, Spain"",""State"":""País Vasco"",""CountryOrRegion"":""ES"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3201,""Longitude"":-2.4293}}","944.287.909","014378aa@hezkuntza.net",,,"[""Ondarroa""]","[""Educación""]",,,"Point (-2.4293 43.3201)","CESAR ENRIQUE PINARGOTE GAVILANES"
"PLAZA-GAIN IKASTOLA",,"[""Infancia"",""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Erribera+Kalea%2c+9&locality=Ondarroa&subregion=Guip%c3%bazcoa&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48700&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Erribera Kalea, 9"",""Address"":{""Street"":""Erribera Kalea, 9"",""City"":""Ondarroa"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.831.416","ondarroa@zubizahar.eus",,,"[""Ondarroa""]","[""Educación""]",,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"ZUBI-ZAHAR IKASTOLA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x13175513676453428053?setLang=es-ES"",""DisplayName"":""ZUBI ZAHAR HERRI IKASTOLA"",""Address"":{""Street"":""Ibaiondo Kalea 15"",""City"":""Ondarroa"",""State"":""Euskadi"",""CountryOrRegion"":""ES"",""PostalCode"":""48700"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3196,""Longitude"":-2.43377}}","946.831.416","ondarroa@zubizahar.eus",,"administrazioa.ondarroa@ikastola.eus","[""Ondarroa""]","[""Educación""]",,,"Point (-2.43377 43.3196)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ZORNOTZAKO HAURRESKOLA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x2015473327471130593?setLang=es-ES"",""DisplayName"":""Larrea"",""Address"":{""Street"":""Barrio de Larra, 2B"",""City"":""Amorebieta-Etxano"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48340"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2277,""Longitude"":-3.03161}}","946.730.346","zornotza.amorebieta@haurreskolak.eus",,,"[""Amorebieta""]","[""Educación""]",,,"Point (-3.03161 43.2277)","CESAR ENRIQUE PINARGOTE GAVILANES"
